2024年度秋セメスター　時間割 (2017カリキュラムAPS生対象科目),,,,,,,,,,,,,,
AY2024 Fall Semester Timetable (For 2017 APS Curriculum students),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"-Online講義は、D列に「〇」が記載されています。講義名の先頭に開講形態(Online)が記載されています。何も記載がない場合には原則対面講義となります。
-「配当セメ」の数字はその科目を受講することができるセメスターを示しています。（例）「3」と記載されている場合には、3セメスター生以上の学生が履修することができます。
-各科目の履修要件（単位数・前提科目・履修制限・単位集計分野、登録可能な期間等）については、科目一覧表をご確認ください（アカデミック・オフィスHP＞第8～10章＞カリキュラム図・科目一覧）。

-For Online Lectures, ""〇"" is marked in column D. Forms of class implementation (Online) are included as part of the 'Subject Name' . If there is no specification, it means that the class is offered on-campus.
Semester,火/Tue.,3,,,SPR 3,03715681,卒業研究Ⅱ 81,Graduation Research II 81,宮部 峻,MIYABE Takashi,J,7,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
Semester,火/Tue.,3,,,F203,037212EA,製品開発論EA,Product DevelopmentEA,CHEN Ping-Kuo,CHEN Ping-Kuo,E,5,他学部/Other College,他学部科目Other College Subjects
1Q,火/Tue.,3,,,H101,027004JB,平和・ヒューマニティ・民主主義JB,"Peace, Humanity and DemocracyJB",淵ノ上 英樹,FUCHINOUE Hideki,J,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
1Q,火/Tue.,3,,,F204,030820EB,国際金融論EB,International FinanceEB,渡邉 正太郎,WATANABE Shotaro,E,5,他学部/Other College,他学部科目Other College Subjects
1Q,火/Tue.,3,,,F201,030861JA,国際会計JA,International AccountingJA,小澤 朋之,OZAWA Tomoyuki,J,5,他学部/Other College,他学部科目Other College Subjects
1Q,火/Tue.,3,,,F106,037107EA,農業遺産とツーリズムEA,Agri-heritage and TourismEA,VAFADARI M. Kazem,VAFADARI M. Kazem,E,5,専門/Major,APS専門教育科目APS Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects (*2)
2Q,火/Tue.,3,,,IPS 5,030273JA,GISとリモートセンシングJA,GIS and Remote SensingJA,ピシュバ ダバー,PISHVA Davar,J,5,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects(*1) 
2Q,火/Tue.,3,,,F204,030346EA,ホスピタリティ・マーケティングEA,Hospitality MarketingEA,橋本 俊作,HASHIMOTO Shunsaku,E,3,専門/Major,APS専門教育科目APS Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects (*2)
2Q,火/Tue.,3,,,F105,033030EB,経営戦略論EB,Strategic ManagementEB,GONG Yuanyuan,GONG Yuanyuan,E,3,他学部/Other College,他学部科目Other College Subjects
2Q,火/Tue.,3,,,F106,037145JA,グローバルメディアと紛争JA,Global Media and ConflictJA,竹川 俊一,TAKEKAWA Shunichi,J,5,専門/Major,APS専門教育科目APS Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects (*3)orCSM専門教育科目(*4)CSM Major Education Subjects (*4)
2Q,火/Tue.,3,,,F201,037202JA,会計　特殊講義JA,Special Lecture in AccountingJA,小澤 朋之,OZAWA Tomoyuki,J,5,他学部/Other College,他学部科目Other College Subjects
Semester,火/Tue.,4,,,FⅡ227,010091CA,日本語初級Ⅱ CA,Japanese Foundation Course II CA,小山 いずみ,KOYAMA Izumi,,1,言語/Language,-
Semester,火/Tue.,4,,,F303,010091CB,日本語初級Ⅱ CB,Japanese Foundation Course II CB,高田 亮,TAKADA Ryo,,1,言語/Language,-
Semester,火/Tue.,4,,,FⅡ124,010091CC,日本語初級Ⅱ CC,Japanese Foundation Course II CC,水戸 貴久,MITO Takahisa,,1,言語/Language,-
Semester,火/Tue.,4,,,F211,010091CD,日本語初級Ⅱ CD,Japanese Foundation Course II CD,バナ 登美子,BONNAH Tomiko,,1,言語/Language,-
Semester,火/Tue.,4,,,D213,010091CE,日本語初級Ⅱ CE,Japanese Foundation Course II CE,大内 由紀,OUCHI Yuki,,1,言語/Language,-
Semester,火/Tue.,4,,,F206,010091CF,日本語初級Ⅱ CF,Japanese Foundation Course II CF,栃原 玲子,TOCHIHARA Reiko,,1,言語/Language,-
Semester,火/Tue.,4,,,D111,010091CG,日本語初級Ⅱ CG,Japanese Foundation Course II CG,ジョーダン 光知子,JORDAN Michiko,,1,言語/Language,-
Semester,火/Tue.,4,,,D101,010091CH,日本語初級Ⅱ CH,Japanese Foundation Course II CH,後藤 美智子,GOTO Michiko,,1,言語/Language,-
Semester,火/Tue.,4,,,F207,010091CI,日本語初級Ⅱ CI,Japanese Foundation Course II CI,寺井 敦子,TERAI Atsuko,,1,言語/Language,-
Semester,火/Tue.,4,,,F302,010091CJ,日本語初級Ⅱ CJ,Japanese Foundation Course II CJ,大内 紹子,OUCHI Shoko,,1,言語/Language,-
Semester,火/Tue.,4,,,F108,010092CK,日本語初級Ⅲ CK,Japanese Foundation Course III CK,石村 文恵,ISHIMURA Fumie,,1,言語/Language,-
Semester,火/Tue.,4,,,F304,010092CL,日本語初級Ⅲ CL,Japanese Foundation Course III CL,吉田 真宏,YOSHIDA Masahiro,,1,言語/Language,-
Semester,火/Tue.,4,,,F208,010092CM,日本語初級Ⅲ CM,Japanese Foundation Course III CM,廣津 公子,HIROTSU Koko,,1,言語/Language,-
Semester,火/Tue.,4,,,F205,010092CN,日本語初級Ⅲ CN,Japanese Foundation Course III CN,井筒 琴子,IZUTSU Kotomi,,1,言語/Language,-
Semester,火/Tue.,4,,,F212,010092CO,日本語初級Ⅲ CO,Japanese Foundation Course III CO,高野 涼子,TAKANO Ryoko,,1,言語/Language,-
Semester,火/Tue.,4,,,F214,010092CP,日本語初級Ⅲ CP,Japanese Foundation Course III CP,上田 優花,UEDA Yuka,,1,言語/Language,-
Semester,火/Tue.,4,,,FⅡ321,010180OC,中国語Ⅰ OC,Chinese I OC,張 玲,ZHANG Ling,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,4,,,FⅡ320,010180OG,中国語Ⅰ OG,Chinese I OG,王 楓,WANG Feng,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,4,,,FⅡ322,010190OD,中国語Ⅱ OD,Chinese II OD,PANG Longjie,PANG Longjie,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,4,,,FⅡ230,010220OF,韓国語Ⅰ OF,Korean I OF,CHO Heejin,CHO Heejin,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,4,,,FⅡ231,010220OH,韓国語Ⅰ OH,Korean I OH,金 奈愛,KIM Naae,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,4,,,FⅡ234,010230OB,韓国語Ⅱ OB,Korean II OB,李 ソヨン,LEE Soyeong,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,4,,,FⅡ232,010250OA,韓国語Ⅳ OA,Korean IV OA,JUNG Jonghee,JUNG Jonghee,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,4,,,FⅡ331,010260OE,マレー語･インドネシア語Ⅰ OE,Malay/Indonesian I OE,藤崎 拓海,FUJISAKI Takumi,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,4,,,FⅡ224,010290OE,スペイン語Ⅰ OE,Spanish I OE,MOLINA Noemi,MOLINA RODRIGUEZ Noemi,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,4,,,FⅡ225,010300OB,スペイン語Ⅱ OB,Spanish II OB,VILA LOPEZ Eduardo,VILA LOPEZ Eduardo,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,4,,,FⅡ228,010320OC,タイ語Ⅰ OC,Thai I OC,PHANKHIAN Areeluck,PHANKHIAN Areeluck,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,4,,,D107,011102EA,英語準中級A EA,Pre-Intermediate English A EA,CROWLEY Kevin,CROWLEY Kevin,,1,言語/Language,英語English
Semester,火/Tue.,4,,,FⅡ123,011102EB,英語準中級A EB,Pre-Intermediate English A EB,LARKING Malcolm,LARKING Malcolm,,1,言語/Language,英語English
Semester,火/Tue.,4,,,D105,011102EC,英語準中級A EC,Pre-Intermediate English A EC,斉藤 沙綾香,SAITO Sayaka,,1,言語/Language,英語English
Semester,火/Tue.,4,,,D301,011102ED,英語準中級A ED,Pre-Intermediate English A ED,APPLE Derrick,APPLE Derrick Alan,,1,言語/Language,英語English
Semester,火/Tue.,4,,,D104,011102EE,英語準中級A EE,Pre-Intermediate English A EE,WALLER Roland C.,WALLER Roland C.,,1,言語/Language,英語English
Semester,火/Tue.,4,,,D103,011102EF,英語準中級A EF,Pre-Intermediate English A EF,SILVA Matthew Shawn,SILVA Matthew Shawn,,1,言語/Language,英語English
Semester,火/Tue.,4,,,D108,011102EG,英語準中級A EG,Pre-Intermediate English A EG,廣松 大和,HIROMATSU Yamato,,1,言語/Language,英語English
Semester,火/Tue.,4,,,D102,011102EH,英語準中級A EH,Pre-Intermediate English A EH,MARZONA Nikki,MARZONA Nikki,,1,言語/Language,英語English
Semester,火/Tue.,4,,,D305,011104EA,英語中級A EA,Intermediate English A EA,CONNER Matthew David,CONNER Matthew David,,1,言語/Language,英語English
Semester,火/Tue.,4,,,D210,011104EB,英語中級A EB,Intermediate English A EB,RENTLER Benjamin,RENTLER Benjamin Robert,,1,言語/Language,英語English
Semester,火/Tue.,4,,,D207,011104EC,英語中級A EC,Intermediate English A EC,GRANT Collette S.,GRANT Collette Sharlene,,1,言語/Language,英語English
Semester,火/Tue.,4,,,D303,011104ED,英語中級A ED,Intermediate English A ED,BERNARD Malia Ana,BERNARD Malia Ana,,1,言語/Language,英語English
Semester,火/Tue.,4,,,D304,011104EE,英語中級A EE,Intermediate English A EE,BEUCKENS Roger Todd,BEUCKENS Roger Todd,,1,言語/Language,英語English
Semester,火/Tue.,4,,,D208,011104EF,英語中級A EF,Intermediate English A EF,KRALIKAUSKAS Ellada,KRALIKAUSKAS Ellada,,1,言語/Language,英語English
Semester,火/Tue.,4,,,D201,011104EG,英語中級A EG,Intermediate English A EG,PIKE Luke Richard,PIKE Luke Richard,,1,言語/Language,英語English
Semester,火/Tue.,4,,,D202,011104EH,英語中級A EH,Intermediate English A EH,FORTUNA Roniel,FORTUNA Roniel Sanchez,,1,言語/Language,英語English
Semester,火/Tue.,4,,,D209,011104EI,英語中級A EI,Intermediate English A EI,KERR Joshua,KERR Joshua Earl,,1,言語/Language,英語English
Semester,火/Tue.,4,,,D205,011107EA,英語準上級B EA,Upper Intermediate English B EA,JAI Rheumi Rhubi,JAI Rheumi Rhubi,,1,言語/Language,英語English
Semester,火/Tue.,4,,,D214,011107EB,英語準上級B EB,Upper Intermediate English B EB,SAUNDERS Matt,SAUNDERS Matt,,1,言語/Language,英語English
Semester,火/Tue.,4,,,D203,011107EC,英語準上級B EC,Upper Intermediate English B EC,GEDARRO Randy Yoshio,GEDARRO Randy Yoshio,,1,言語/Language,英語English
Semester,火/Tue.,4,,,D110,011107ED,英語準上級B ED,Upper Intermediate English B ED,SCHWEHR Owen Richard,SCHWEHR Owen Richard,,1,言語/Language,英語English
Semester,火/Tue.,4,,,D212,011107EE,英語準上級B EE,Upper Intermediate English B EE,USREY Kaylin Rose,USREY Kaylin Rose,,1,言語/Language,英語English
Semester,火/Tue.,4,,,D302,011107EF,英語準上級B EF,Upper Intermediate English B EF,眞邉 昌一,MANABE Shoichi,,1,言語/Language,英語English
Semester,火/Tue.,4,,,D206,011107EG,英語準上級B EG,Upper Intermediate English B EG,JOHNSTON Patrick J,JOHNSTON Patrick J,,1,言語/Language,英語English
Semester,火/Tue.,4,,,D204,011107EH,英語準上級B EH,Upper Intermediate English B EH,HERRERA Girlie Ann,HERRERA Girlie Ann R.,,1,言語/Language,英語English
Semester,火/Tue.,4,,,D109,011107EI,英語準上級B EI,Upper Intermediate English B EI,HU Cindy Hsin Yu,HU Cindy Hsin Yu,,1,言語/Language,英語English
Semester,火/Tue.,4,,,D211,017014CA,英語検定試験対策講座Ⅱ CA,English Proficiency Test Preparation Course II CA,ベルガー 舞子,BERGER Maiko,,3,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,4,,,F109,017023OA,国連公用語概論Ⅲ OA,Introduction to Official Languages of the United Nations III OA,BARRASO Victor,BARRASO ROMERO Victor Manuel,,3,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,4,,,FⅡ120,020031EE,経済学入門EE,Introduction to EconomicsEE,PORTO Massimiliano,PORTO Massimiliano,E,2,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,火/Tue.,4,,,F104,021131EB,キャリア・デザインⅡEB,Career Design IIEB,金井 秀介,KANAI Shusuke,E,3,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,火/Tue.,4,,,IPS 3,027021JD,プログラミングJD,ProgrammingJD,高妻 倫太郎,KOZUMA Rintaro,J,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,火/Tue.,4,,,J102,030564EG,基礎数学EG,Fundamental MathematicsEG,CABRERAOSPINO Melody,CABRERAOSPINO Melody,E,3,他学部/Other College,他学部科目Other College Subjects
Semester,火/Tue.,4,,,F106,030566EC,経営学入門EC,Introduction to ManagementEC,PHAM Tam Long,PHAM Tam Long,E,3,他学部/Other College,他学部科目Other College Subjects
Semester,火/Tue.,4,,,SPR 6,03207023,専門演習Ⅱ 23,Major Seminar II 23,ROTHMAN Steven B.,ROTHMAN Steven B.,E,5-6,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
Semester,火/Tue.,4,,,RMR5,03207039,専門演習Ⅱ 39,Major Seminar II 39,ゴトビ ナデル,GHOTBI Nader,E,5-6,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
Semester,火/Tue.,4,,,IPS 2,03207049,専門演習Ⅱ 49,Major Seminar II 49,ROSE John A.,ROSE John A.,E,5-6,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
Semester,火/Tue.,4,,,RMR4,03207051,専門演習Ⅱ 51,Major Seminar II 51,佐藤 洋一郎,SATO Yoichiro,E,5-6,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
Semester,火/Tue.,4,,,SPR 3,03207076,専門演習Ⅱ 76,Major Seminar II 76,韓 驥,HAN Ji,E/J,5-6,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
Semester,火/Tue.,4,,,F101,037103JA,日本の外交政策JA,Foreign Policy of JapanJA,綛田 芳憲,KASEDA Yoshinori,J,5,専門/Major,APS専門教育科目APS Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects (*3)
Semester,火/Tue.,4,,,SPR 4,03715511,卒業研究I 11,Graduation Research I11,金 賛會,KIM Chan Hoe,J,7,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
Semester,火/Tue.,4,,,SPR 4,03715611,卒業研究Ⅱ 11,Graduation Research II 11,金 賛會,KIM Chan Hoe,J,7,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
Semester,火/Tue.,4,,,SPR 7,03715634,卒業研究Ⅱ 34,Graduation Research II 34,吉松 秀孝,YOSHIMATSU Hidetaka,E/J,7,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
Semester,火/Tue.,4,,,F202,037213JB,マーケティング入門JB,Introduction to MarketingJB,亀井 典明,KAMEI Noriaki,J,3,他学部/Other College,他学部科目Other College Subjects
1Q,火/Tue.,4,,,F201,027019JB,心理学JB,PsychologyJB,齊藤 友子,SAITO Tomoko,J,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
1Q,火/Tue.,4,,,F105,027026JB,メディア制作ラボJB,Media Production LabJB,狩谷 新,KARIYA Shin,J,3,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
1Q,火/Tue.,4,,,F102,027030JE,華道JE,Japanese Art of Flower ArrangementJE,藤原 満喜,FUJIWARA Mitsuki,J,3,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
1Q,火/Tue.,4,,,H201,030717JA,投資・証券分析JA,Investment and Securities AnalysisJA,大竹 敏次,OTAKE Toshitsugu,J,5,他学部/Other College,他学部科目Other College Subjects
1Q,火/Tue.,4,,,FⅡ220,030750JB,マーケティング・リサーチJB,Marketing ResearchJB,李 根煕,LEE Geunhee,J,3,他学部/Other College,他学部科目Other College Subjects
1Q,火/Tue.,4,,,H101,037104JA,環境コミュニケーションJA,Environmental CommunicationJA,山下 博美,YAMASHITA Hiromi,J,5,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects(*1) 
1Q,火/Tue.,4,,,FⅡ221,037105JA,観光文化論と観光史JA,Culture and History of TourismJA,須藤 廣,SUDO Hiroshi,J,3,専門/Major,APS専門教育科目APS Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects (*2)
1Q,火/Tue.,4,,,F204,037121EB,ニューメディアと社会EB,New Media and SocietyEB,GUNARTO Hary,GUNARTO Hary,E,3,専門/Major,APS専門教育科目APS Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects (*4)
1Q,火/Tue.,4,,,FⅡ122,037121JA,ニューメディアと社会JA,New Media and SocietyJA,安倍 尚紀,ABE Naoki,J,3,専門/Major,APS専門教育科目APS Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects (*4)
1Q,火/Tue.,4,,,F203,037142EA,観光学　特殊講義EA,Special Lecture in Tourism and HospitalityEA,久保 隆行,KUBO Takayuki,E,5,専門/Major,APS専門教育科目APS Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects (*2)
1Q,火/Tue.,4,,,J103,037142JI,観光学　特殊講義JI,Special Lecture in Tourism and HospitalityJI,上原 優子,UEHARA Yuko,J,5,専門/Major,APS専門教育科目APS Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects (*2)
1Q,火/Tue.,4,,,J201,037208EA,ビジネスケース分析・コミュニケーションEA,Business Case Analysis & CommunicationEA,ACKARADEJRUANGSRI P.,ACKARADEJRUANGSRI P.,E,5,他学部/Other College,他学部科目Other College Subjects
